,Name,Description,Os Types,Bases,Origins,Architectures,Desktops,Categories,Statuses,Popularities,Homepage
0,MX Linux,"MX Linux, a desktop-oriented Linux distribution based on Debian's ""Stable"" branch, is a cooperative venture between the antiX and former MEPIS Linux communities. Using Xfce as the default desktop (with separate KDE Plasma and Fluxbox editions also available), it is a mid-weight operating system designed to combine an elegant and efficient desktop with simple configuration, high stability, solid performance and medium-sized footprint.",['Linux'],"['Debian (Stable)', 'antiX']","['Greece, USA']","['armhf', 'i686', 'x86_64']","['Fluxbox', 'KDE Plasma', 'Xfce']","['Desktop', 'From RAM', 'Live Medium', 'Raspberry Pi']",['Active'],"['1 (2,699 hits per day)']",['https://mxlinux.org/']
1,Mint,"Linux Mint is an Ubuntu-based distribution whose goal is to provide a classic desktop experience with many convenient, custom tools and optional out-of-the-box multimedia support. It also adds a custom desktop and menus, several unique configuration tools, and a web-based package installation interface. Linux Mint is compatible with Ubuntu software repositories. Besides its Ubuntu-based flavour, the project also produces a separate ""Debian"" edition (called LMDE), based on the latest stable Debian version.",['Linux'],"['Debian (Stable)', 'Ubuntu (LTS)']",['Ireland'],"['i686', 'x86_64']","['Cinnamon', 'MATE', 'Xfce']","['Beginners', 'Desktop', 'Live Medium']",['Active'],"['2 (2,083 hits per day)']",['https://linuxmint.com/']
2,EndeavourOS,"EndeavourOS is a rolling release Linux distribution based on Arch Linux. The project aims to be a spiritual successor to Antergos - providing an easy setup and pre-configured desktop environment on an Arch base. EndeavourOS offers both off-line and on-line install options. The off-line installer, Calamares, uses the Xfce desktop by default. The on-line installer can install optional software components, including most popular desktop environments.",['Linux'],['Arch'],['Netherlands'],"['aarch64', 'x86_64']","['Budgie', 'Cinnamon', 'GNOME', 'i3', 'KDE Plasma', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Live Medium']",['Active'],"['3 (2,012 hits per day)']",['https://endeavouros.com/']
3,Debian,"The Debian Project is an association of individuals who have made common cause to create a free operating system. This operating system is called Debian. Debian systems currently use the Linux kernel. Linux is a completely free piece of software started by Linus Torvalds and supported by thousands of programmers worldwide. Of course, the thing that people want is application software: programs to help them get what they want to do done, from editing documents to running a business to playing games to writing more software. Debian comes with over 50,000 packages (precompiled software that is bundled up in a nice format for easy installation on your machine) - all of it free. It's a bit like a tower. At the base is the kernel. On top of that are all the basic tools. Next is all the software that you run on the computer. At the top of the tower is Debian -- carefully organizing and fitting everything so it all works together.",['Linux'],[],['Global'],"['aarch64', 'armel', 'armhf', 'i386', 'i686', 'mipsel', 'ppc64el', 's390x', 'x86_64']","['AfterStep', 'Awesome', 'Blackbox', 'Cinnamon', 'Fluxbox', 'flwm', 'FVWM', 'GNOME', 'i3', 'IceWM', 'ion', 'JWM', 'KDE', 'LXDE', 'LXQt', 'MATE', 'Openbox', 'pekwm', 'Ratpoison', 'WMaker', 'XBMC', 'Xfce']","['Desktop', 'Live Medium', 'Server']",['Active'],"['4 (1,422 hits per day)']",['https://www.debian.org/']
4,Manjaro,"Manjaro Linux is a fast, user-friendly, desktop-oriented operating system based on Arch Linux. Key features include intuitive installation process, automatic hardware detection, stable rolling-release model, ability to install multiple kernels, special Bash scripts for managing graphics drivers and extensive desktop configurability. Manjaro Linux offers Xfce as the core desktop options, as well as KDE, GNOME and a minimalist Net edition for more advanced users. Community-supported desktop flavours are also available.",['Linux'],['Arch'],"['Austria, France, Germany']","['aarch64', 'x86_64']","['Awesome', 'bspwm', 'Budgie', 'Cinnamon', 'GNOME', 'i3', 'KDE Plasma', 'LXQt', 'MATE', 'Openbox', 'Xfce']","['Desktop', 'Live Medium', 'Raspberry Pi']",['Active'],"['5 (1,316 hits per day)']",['https://manjaro.org/']
5,Ubuntu,"Ubuntu is a complete desktop Linux operating system, freely available with both community and professional support. The Ubuntu community is built on the ideas enshrined in the Ubuntu Manifesto: that software should be available free of charge, that software tools should be usable by people in their local language and despite any disabilities, and that people should have the freedom to customise and alter their software in whatever way they see fit. ""Ubuntu"" is an ancient African word, meaning ""humanity to others"". The Ubuntu distribution brings the spirit of Ubuntu to the software world.",['Linux'],['Debian'],['Isle of Man'],"['armhf', 'ppc64el', 'riscv', 's390x', 'x86_64']","['GNOME', 'Unity']","['Beginners', 'Desktop', 'Server', 'Live Medium']",['Active'],"['6 (1,067 hits per day)']",['https://www.ubuntu.com/']
6,Pop!_OS,Pop!_OS is an Ubuntu-based Linux distribution featuring a custom GNOME desktop. Pop!_OS is designed to have a minimal amount of clutter on the desktop without distractions in order to allow the user to focus on work. The distribution is developed by Linux computer retailer System76.,['Linux'],"['Ubuntu', 'Debian']",['USA'],"['aarch64', 'x86_64']",['GNOME'],"['Desktop', 'Live Medium', 'Raspberry Pi']",['Active'],"['7 (1,046 hits per day)']",['https://system76.com/pop']
7,Fedora,"Fedora Linux (formerly Fedora, formerly Fedora Core) is a Linux distribution developed by the community-supported Fedora Project and owned by Red Hat. Fedora Linux contains software distributed under a free and open-source license and aims to be on the leading edge of such technologies. Fedora has a reputation for focusing on innovation, integrating new technologies early on and working closely with upstream Linux communities. The default desktop in Fedora Linux is the GNOME desktop environment and the default interface is the GNOME Shell. Other desktop environments, including KDE, Xfce, LXDE, MATE and Cinnamon, are available. The Fedora project also distributes custom variations of Fedora called Fedora spins. These are built with specific sets of software packages, offering alternative desktop environments or targeting specific interests such as gaming, security, design, scientific computing and robotics.",['Linux'],[],['USA'],"['aarch64', 'ppc64le', 's390x', 'x86_64']","['Awesome', 'Budgie', 'Cinnamon', 'Enlightenment', 'i3', 'GNOME', 'KDE Plasma', 'LXDE', 'LXQt', 'MATE', 'Openbox', 'Pantheon', 'Ratpoison', 'Xfce']","['Desktop', 'Immutable', 'Server', 'Live Medium']",['Active'],"['8 (1,034 hits per day)']",['https://getfedora.org/']
8,openSUSE,"The openSUSE project is a community program sponsored by SUSE Linux and other companies. Promoting the use of Linux everywhere, this program provides free, easy access to openSUSE, a complete Linux distribution. The openSUSE project has three main goals: make openSUSE the easiest Linux for anyone to obtain and the most widely used Linux distribution; leverage open source collaboration to make openSUSE the world's most usable Linux distribution and desktop environment for new and experienced Linux users; dramatically simplify and open the development and packaging processes to make openSUSE the platform of choice for Linux developers and software vendors.",['Linux'],[],['Germany'],"['aarch64', 'armhf', 'i686', 'ppc64', 'ppc64el', 's390x', 'x86_64']","['Cinnamon', 'Enlightenment', 'GNOME', 'IceWM', 'KDE Plasma', 'LXDE', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Immutable', 'Server', 'Live Medium', 'Raspberry Pi']",['Active'],['9 (799 hits per day)'],['http://www.opensuse.org/']
9,Lite,"Linux Lite is a beginner-friendly Linux distribution based on Ubuntu's long-term support (LTS) release and featuring the Xfce desktop. Linux Lite primarily targets Windows users. It aims to provide a complete set of applications to assist users with their everyday computing needs, including a full office suite, media players and other essential daily software.",['Linux'],"['Debian', 'Ubuntu (LTS)']",['New Zealand'],['x86_64'],['Xfce'],"['Beginners', 'Desktop', 'Live Medium']",['Active'],['10 (663 hits per day)'],['https://www.linuxliteos.com/']
